NodeId	NodeURL	NodeName	Year	pages
54344	http://westvalleyelementary.weebly.com	West Valley Elementary	2013.0	1.0
54345	http://sharon.alpineschools.org	Sharon Elementary School	2012.0	33.0
54346	http://www.wayne.k12.ut.us/waynehigh.cfm	Wayne High School	0.0	283.0
54347	http://library.washco.utah.gov/washington/	Washington County Library - Washington Branch	2009.0	6.0
54348	http://dhthunder.org/	Desert Hills High School	2008.0	23.0
54349	http://sprucewood.canyonsdistrict.org	Sprucewood Elementary School	2009.0	205.0
54350	http://www.davis.k12.ut.us/site/default.aspx?domainid=5640	Vae View Elementary School	0.0	40.0
54352	http://www.richfieldhigh.org	Richfield High School	2011.0	350.0
54354	http://draper.canyonsdistrict.org	Draper Elementary School	2009.0	466.0
54355	http://www.cedarhills.org/	Cedar Hills	2000.0	1329.0
54356	http://www.co.summit.ut.us/	summit county	2000.0	731.0
54358	http://www.saltlakeartsacademy.org/	Salt Lake Arts Academy	2002.0	0.0
54359	http://library.washco.utah.gov/st-george/	Washington County Library - St. George Main Branch	2006.0	5.0
54360	http://spanishoaks.nebo.edu	Spanish Oaks Elementary School	2009.0	247.0
54361	http://schools.jordandistrict.org/westjordanhigh/	West Jordan High School	2006.0	27.0
54362	http://www.slcolibrary.org/gl/glal/librarywestjordan.htm	Salt Lake County Library - West Jordan Library	2010.0	28.0
54363	http://pghs.alpineschools.org	Pleasant Grove High School	2012.0	167.0
54364	http://lves.washk12.org/	La Verkin Elementary School	2005.0	28.0
54366	http://www.dixie.edu/	Dixie State College:	0.0	536.0
54367	http://www.dees.ogden.k12.ut.us/	Dee Elementary School	2001.0	5.0
54368	http://www.ths.provo.edu	Timpview High School	2003.0	199.0
54369	http://www.milfordut.com/	Milford	2001.0	1508.0
54370	http://lehijr.alpineschools.org	Lehi Junior High School	2012.0	33.0
54371	http://brighamcity.usu.edu/	Utah State University - Brigham City Campus	2006.0	7.0
54372	http://www.ccsdut.org/cedarridge.cfm	Cedar Ridge Middle School	0.0	2294.0
54373	http://cchs.canyonsdistrict.org	Corner Canyon High School	2012.0	54.0
54374	http://woodlandhillsutah.org/	Woodland Hills	2008.0	718.0
54375	http://bonneville.slcschools.org/	Bonneville Elementary School	2010.0	66.0
54376	http://www.sjsd.org/monument-valley-high	Monument Valley High School	2012.0	280.0
54377	http://www.emerycsd.org/emery.cfm	Emery High School	0.0	15010.0
54378	http://gfautah.org/	Good Foundations Academy	2010.0	24.0
54379	http://vineyard.alpineschools.org	Vineyard Elementary School	2012.0	35.0
54380	http://www.ccsdut.org/nibley.cfm	Nibley Elementary School	0.0	2530.0
54381	http://schools.jordandistrict.org/rcreek/	Rose Creek Elementary	2010.0	31.0
54382	http://www.southwebercity.com/	South Weber	2004.0	2683.0
54383	http://tooeleschools.org/schools/elementaryschools/sces/pages/default.aspx	Settlement Canyon Elementary	2013.0	7.0
54384	http://santaquin.nebo.edu	Santaquin Elementary School	2009.0	259.0
54385	http://www.snow.edu	Snow College	1997.0	237.0
54386	http://uplandterraceelementary.weebly.com	Upland Terrace Elementary School	2011.0	5.0
54387	http://east.washk12.org	East Elementary School	2007.0	29.0
54389	http://www.uintah.net/schools/eagle%20view/eagleviewindex.html	Eagle View Elementary School	2010.0	7.0
54391	http://home.byu.edu/home/	Brigham Young University	2011.0	26.0
54392	http://www.slcpl.lib.ut.us/branches/view/corinne+and+jack+sweet	Salt Lake City Public Library - Corinne And Jack Sweet	0.0	2.0
54393	http://library.washco.utah.gov/new-harmony/	Washington County Library - New Harmony Branch	2006.0	4.0
54394	http://sjhs.nebo.edu	Springville Junior High School	2009.0	324.0
54395	http://beaver.utah.gov/	beaver county	2010.0	606.0
54396	http://paradise.utah.gov	Paradise	2008.0	294.0
54398	http://www.orem.org/	Orem	1998.0	613.0
54399	http://www.co.davis.ut.us/	davis county	1998.0	963.0
54400	http://sfjhs.nebo.edu/	Spanish Fork Junior High School	2009.0	1270.0
54401	http://www.co.tooele.ut.us/	tooele county	1998.0	116.0
54402	http://jackson.slcschools.org/	Jackson Elementary School	2010.0	21.0
54404	http://schools.jordandistrict.org/oakcrest/	Oakcrest Elementary School	2007.0	31.0
54405	http://www.davis.k12.ut.us/site/default.aspx?domainid=7528	Davis High School	2013.0	43.0
54406	http://howardrdriggs.weebly.com	Howard R. Driggs Elementary School	2012.0	14.0
54407	http://www.morgan.k12.ut.us/mges/mgesindex.html	Mountain Green Elementary School	2011.0	11.0
54408	http://quailhollow.canyonsdistrict.org	Quail Hollow Elementary School	2009.0	266.0
54409	http://bluffutah.org/	Bluff	2000.0	173.0
54411	http://gae.wsd.net	Green Acres Elementary School	2013.0	382.0
54412	http://www.dixiehigh.org	Dixie High School	2001.0	1.0
54414	http://www.edgemont.provo.edu	Edgemont Elementary School	2003.0	14.0
54415	http://www.millard.k12.ut.us/	Millard School District	1997.0	957.0
54416	http://www.morgan-county.net/	morgan county	2001.0	325.0
54417	http://www.hslic.state.ut.us	Licensing (Human Services)	1998.0	2.0
54418	http://riverview.alpineschools.org	Riverview Elementary School	2012.0	35.0
54419	http://richmond-utah.com/	Richmond	2007.0	52.0
54420	http://ensign.slcschools.org/	Ensign Elementary School	2010.0	19.0
54421	http://bvhs.garfk12.org	Bryce Valley High School	2013.0	37.0
54422	http://www.venturelearning.org	Venture Academy	2007.0	5.0
54424	http://www.spanishfork.org/	Spanish Fork	1998.0	1339.0
54425	http://www.uvu.edu/concurrent/	Utah Valley University - Concurrent Enrollment	2008.0	29.0
54426	http://www.emerycounty.com/	emery county	2000.0	354.0
54427	http://www.wayne.k12.ut.us/loa.cfm	Loa Elementary School	0.0	250.0
54428	http://www.davisdragons.net	Davis Elementary School	2008.0	25.0
54429	http://www.sjsd.org/tse-bii-nidzisgai-elementary	Tse'bii'nidzisgai Elementary School	2012.0	297.0
54430	http://www.davis.k12.ut.us/site/default.aspx?domainid=6832	Sunset Junior High School	0.0	39.0
54431	https://www.juab.k12.ut.us/	Juab School District	1997.0	5013.0
54432	http://www.canyongrove.com	Canyon Grove Academy	2001.0	19.0
54433	http://www.garlandutah.org/	Garland	2010.0	66.0
54434	http://www.valley.jordan.k12.ut.us	Valley High School	2000.0	6.0
54436	http://tooele.usu.edu	Utah State University - Tooele Campus	2006.0	464.0
54437	http://www.trhs.weber.k12.ut.us	Two Rivers High School	2006.0	136.0
54438	http://www.tooelecity.org/tcl/library.html	Tooele City Public Library	2006.0	0.0
54440	http://ashmanelementary.org	Ashman Elementary School	2011.0	196.0
54441	http://www.slcpl.lib.ut.us/branches/view/anderson-foothill	Salt Lake City Public Library - Anderson-Foothill	2011.0	2.0
54442	http://waldenschool.us/	Walden School of Liberal Arts	2005.0	46.0
54444	http://www.carbonschools.org/bruinpoint.cfm	Bruin Point Elementary School	0.0	1759.0
54445	http://altara.canyonsdistrict.org	Altara Elementary School	2009.0	514.0
54446	http://continue.utah.edu/bountiful	University of Utah DCE Bountiful	2011.0	1792.0
54447	http://www.davis.k12.ut.us/site/default.aspx?domainid=3082	Lincoln Elementary School	2013.0	26.0
54448	http://www.davis.k12.ut.us/site/default.aspx?domainid=3000	Muir Elementary School	0.0	43.0
54449	http://www.tax.utah.gov/	Tax Commission	2002.0	683.0
54450	http://www.davis.k12.ut.us/site/default.aspx?domainid=6942	Syracuse Junior High School	2013.0	13.0
54451	http://www.hawthornacademy.org/	Hawthorn Academy	2008.0	34.0
54452	http://bes.garfk12.org	Boulder Elementary School	2012.0	2.0
54453	http://bacchuselementary.weebly.com	Thomas W. Bacchus Elementary School	2011.0	4.0
54454	http://tooeleschools.org/schools/elementaryschools/oes/pages/default.aspx	Overlake Elementary School	2013.0	28.0
54455	http://www.wte.weber.k12.ut.us/	Washington Terrace Elementary School	1998.0	146.0
54456	http://www.kane.k12.ut.us/	Kane School District	1999.0	151.0
54457	http://www.udot.utah.gov/main/f?p=100:6:0::::V,T:,1	Transportation (Department of)	2010.0	1416.0
54458	http://lincoln.slcschools.org/	Lincoln Elementary School	2010.0	12.0
54459	http://www.screst.weber.k12.ut.us/	Snowcrest Junior High School	1998.0	584.0
54460	http://www.ccsdut.org/riverheights.cfm	River Heights Elementary School	0.0	2480.0
54461	http://www.davis.k12.ut.us/site/default.aspx?domainid=2278	Farmington Elementary School	0.0	89.0
54462	http://hawthorne.slcschools.org/	Hawthorne Elementary School	2010.0	51.0
54463	http://www.carbonschools.org/lighthousealternative.cfm	Lighthouse High School	0.0	1759.0
54464	http://www.dcsd.org/duchesneelementary.cfm	Duchesne Elementary School	0.0	924.0
54465	http://southpointe.jordandistrict.org	Southpointe Adult High	2010.0	23.0
54467	http://www.davis.k12.ut.us/site/default.aspx?domainid=8420	Centennial Junior High	2013.0	64.0
54468	http://northpoint.alpineschools.org/	North Point Elementary School	2012.0	27.0
54469	http://www.argosy.edu/salt-lake-city-utah/default.aspx	Argosy University	2012.0	53.0
54471	http://harvest.alpineschools.org/	Harvest Elementary School	2011.0	59.0
54472	http://www.nsummit.org	North Summit School District	0.0	572.0
54473	http://www.millard.k12.ut.us/schools/mhs/	Millard High School	1997.0	126.0
54474	http://ogdenprep.org/	Ogden Preparatory Academy - Grades 7-10	2005.0	863.0
54476	http://jordandistrict.org/	Jordan School District	2002.0	1127.0
54477	http://indianhills.slcschools.org/	Indian Hills Elementary School	2010.0	62.0
54478	http://www.tintic.k12.ut.us	Tintic School District	1998.0	8361.0
54479	http://www.dcsd.org/tabionaschool.cfm	Tabiona Elementary School	0.0	945.0
54480	https://moabcharterschool.org/	Moab Charter School	2008.0	0.0
54481	http://his.washk12.org	Hurricane Intermediate School	2007.0	74.0
54482	http://www.utah.gov/ltgovernor/	Lt. Governor's Office	2004.0	2.0
54483	http://woodstock2012.weebly.com	Woodstock Elementary School	2012.0	6.0
54484	http://greenriverutah.com/	Green River	2001.0	107.0
54485	http://www.davis.k12.ut.us/site/default.aspx?domainid=3801	Creekside Elementary School	0.0	44.0
54486	http://www.bountifulutah.gov	Bountiful	2004.0	106.0
54487	http://bves.garfk12.org	Bryce Valley Elementary School	2012.0	10.0
54488	http://www.northloganlibrary.org/	North Logan City Library	2005.0	71.0
54489	http://www.lindoncity.org/	Lindon	2001.0	541.0
54490	http://www.davis.k12.ut.us/site/default.aspx?domainid=7033	West Point Junior High	2013.0	45.0
54492	http://ponyexpress.alpineschools.org	Pony Express Elementary	2012.0	42.0
54493	http://www.wasatch.edu/domain/686	Old Mill Elementary School	2011.0	258.0
54494	http://www.davis.k12.ut.us/site/default.aspx?domainid=1742	Cook Elementary School	0.0	45.0
54495	http://www.davis.k12.ut.us/site/default.aspx?domainid=4975	Syracuse Elementary School	2013.0	47.0
54496	http://cms.ironk12.org	Cedar Middle School	2008.0	83.0
54497	http://www.slcolibrary.org/gl/glal/librarysmith.htm	Salt Lake County Library - Calvin S. Smith Library	2010.0	28.0
54498	http://www.utah.gov/governor/	Governor's Office	2002.0	2.0
54500	http://hillcrest.alpineschools.org	Hillcrest Elementary School	2012.0	61.0
54501	http://www.kearns-utah.org/	Kearns	2001.0	362.0
54502	http://carlsandburgelementary.weebly.com	Carl Sandburg Elementary School	2012.0	0.0
54503	http://hillsideelementary.weebly.com	Hillside Elementary School	2012.0	0.0
54504	http://www.ccsdut.org/sunrise.cfm	Sunrise Elementary School	0.0	2546.0
54505	http://larsen.nebo.edu	Larsen Elementary School	2010.0	651.0
54506	http://www.davis.k12.ut.us/site/default.aspx?domainid=3650	Windridge Elementary School	0.0	69.0
54507	http://www.broadviewuniversity.edu	Broadview University	2010.0	939.0
54508	http://www.datc.edu	Davis Applied Technology College	2007.0	406.0
54510	http://www.clintoncity.net/	Clinton	2008.0	278.0
54511	http://www.ue.weber.k12.ut.us	Uintah Elementary School	2001.0	96.0
54512	http://franklin.slcschools.org/	Franklin Elementary School	2010.0	51.0
54514	http://voyageacademyutah.org	Voyage Academy	2013.0	92.0
54515	http://laketownutah.com/	Laketown	2010.0	13.0
54517	http://deerfield.alpineschools.org/	Deerfield Elementary School	2012.0	56.0
54518	http://tooeleschools.org/SitePages/Home.aspx	Tooele School District	2012.0	2.0
54519	http://www.nucenter.org	Northeastern Utah Educational Services	2007.0	46.0
54520	http://whittier.slcschools.org/	Whittier Elementary School	2010.0	82.0
54521	http://www.sjr.weber.k12.ut.us/	South Ogden Junior High School	1998.0	194.0
54522	http://www.riverdalecity.com/	Riverdale City	1999.0	149.0
54523	http://www.plgrove.org/	Pleasant Grove	1998.0	1035.0
54524	http://www.davis.k12.ut.us/site/default.aspx?domainid=2924	Morgan Elementary School	0.0	37.0
